fips,name,gcd_funding,pgma,moratorium_june,moratorium,land_score,infra_score,risk_june,risk_sept,rank_june,rank_sept,rank_delta,is_lit,is_peer
48099,Coryell,0,0,0,0,0.177663202248355,0.608984875677679,0.448288254744899,0.448288254744899,176,175,1,FALSE,FALSE
48005,Angelina,0,0,0,0,0.512520719717037,0.213760024691584,0.446358256551401,0.446358256551401,177,176,1,FALSE,FALSE
48265,Kerr,0,0,0,0,0.390510330278132,0.350764740609504,0.444096697298465,0.444096697298465,178,177,1,FALSE,FALSE
48277,Lamar,0,0,0,0,0.396281989324883,0.343105091750587,0.443704558763579,0.443704558763579,179,178,1,FALSE,FALSE
48309,McLennan,0,0,0,0,0.199909527444964,0.570137095925416,0.442828346320905,0.442828346320905,180,179,1,FALSE,FALSE
48219,Hockley,0,0,0,0,0.257113415739696,0.496300322430975,0.439822284175821,0.439822284175821,181,180,1,FALSE,FALSE
48449,Titus,0,0,0,0,0.474719194016226,0.224427467055796,0.432200338758326,0.432200338758326,182,181,1,FALSE,FALSE
48347,Nacogdoches,0,0,0,0,0.465437826487492,0.234223231306768,0.431763122981157,0.431763122981157,183,182,1,FALSE,FALSE
48227,Howard,0,0,0,0,0.134565546876756,0.616592960014684,0.430218390571461,0.430218390571461,184,183,1,FALSE,FALSE
48203,Harrison,0,0,0,0,0.536419537484466,0.146723732304225,0.429778179220366,0.429778179220366,185,184,1,FALSE,FALSE
48329,Midland,0,0,0,0,0.129141210105977,0.616985325195844,0.427704753441723,0.427704753441723,186,185,1,FALSE,FALSE
48481,Wharton,0,0,0,0,0.350795718113616,0.357647264039646,0.427390916493372,0.427390916493372,187,186,1,FALSE,FALSE
