fips,rural_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,severe_housing_cost_burden_raw_value
12107,0.7267904148,1,0.1544130249,0.1238901076
12109,0.1479308768,0,0.1161125052,0.1241873474
12111,0.0353769143,1,0.1555019029,0.1650906071
12113,0.1990265957,0,0.115939883,0.1016949153
12115,0.0241056575,0,0.1513729535,0.1539763451
12117,0.0324451637,1,0.1600143734,0.1541747893
12119,0.2157731673,1,0.1283365885,0.1100630378
12121,0.8466209689,0,0.1566225166,0.1112864494
12123,0.7003578638,1,0.113480055,0.0657894737
12125,1,0,0.1266912669,0.0694193548
12127,0.0853700616,1,0.1632541453,0.1606775491
12129,0.7001540102,0,0.1020861074,0.0855524558
12131,0.5614766616,0,0.1479456594,0.1197712059
12133,1,1,0.1163184641,0.0965817848
13001,0.7097158968,0,0.1100226074,0.0949642524
13003,1,0,0.1531986532,0.0886243386
13005,1,0,0.1419354839,0.1106838781
13007,1,0,0.1083333333,0.0898520085
13009,0.487636704,1,0.1714733542,0.1548103426
13011,0.9558081508,1,0.1048573631,0.1089935423
13013,0.3296569068,1,0.1272921488,0.1055075854
13015,0.3943122653,0,0.1255587694,0.1073453642
13017,0.3438990345,0,0.1288433382,0.1409011304
13019,0.7332599119,0,0.1085154484,0.1029744585
13021,0.1408551854,0,0.1957446809,0.2017715322
13023,0.5105300803,0,0.1406619385,0.1320330083
13025,0.9932301204,0,0.0973584906,0.0982631071
13027,1,0,0.1723563697,0.183801214
13029,0.4678125978,0,0.1051030754,0.0984412392
13031,0.4514358993,1,0.1694622168,0.1566873216
13033,0.7518702228,0,0.1115560641,0.1417468971
13035,0.7760084926,0,0.096563981,0.1153354261
13037,1,0,0.1374570447,0.1065989848
13039,0.2958114227,1,0.1642536196,0.1364257813
13043,1,0,0.2007434944,0.1151967087
13045,0.5438278444,0,0.1517532544,0.142074429
13047,0.2372259547,1,0.1190569745,0.0973523899
13049,1,0,0.148989899,0.1335907336
13051,0.0301668524,0,0.1710064555,0.1747708371
13053,0.4008363826,0,0.1621621622,0.1120354964
13055,0.5903464851,0,0.146898803,0.0863528615
13057,0.1829795214,0,0.1192017833,0.1090012912
13059,0.0592441187,0,0.2346704871,0.2488505637
13061,1,0,0.1206225681,0.1270718232
13063,0.0052487441,0,0.2074951644,0.2025586978
13065,1,0,0.1631355932,0.0675484176
13067,5.22092e-05,0,0.13443507,0.1220960409
13069,0.66912652,0,0.1372614664,0.1024078696
13071,0.5813107325,0,0.142108508,0.1239743019
13073,0.1494711877,0,0.085198025,0.0938850051
13075,0.5917348656,0,0.1651527663,0.1555707684
13077,0.4489251358,0,0.1098211778,0.1002818354
13079,1,0,0.0956826138,0.0694943686
13081,0.4569256757,0,0.1816993464,0.1799146439
13083,0.9458494862,0,0.1205211726,0.0700754401
13085,0.6940070154,0,0.1007672634,0.0740705615
13087,0.5281438349,1,0.2045898438,0.1408421053
13089,0.0015790534,0,0.1751669172,0.181813268
13091,0.6878293601,0,0.1582952816,0.1434963247
13093,1,0,0.1542416452,0.1006871036
13095,0.1435015736,0,0.2303436226,0.2272602865
13097,0.1547591811,0,0.1484359434,0.1254573756
13099,1,0,0.166047088,0.1123447
13101,1,1,0.0754716981,0.0911504425
13103,0.7421142831,0,0.0965718127,0.0828763217
13105,0.7097316291,0,0.1826366559,0.1506849315
13107,0.6815267041,1,0.1224984839,0.0968794882
13109,1,0,0.1776061776,0.0992514555
13111,1,0,0.1336014298,0.1208445226
13113,0.1813178516,0,0.1305785124,0.1201810375
13115,0.3872940842,0,0.1466815393,0.1300628788
