fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
54023,10,9,-0.2,0.400436149387245,0.402134504029895,0.442331543483107,0,0,0,0,0,0,0,0,0,water
54025,4,6,-3.2,0.69256423603095,0.477793421828807,0.378496476702918,0,0,0,0,0,0,0,0,0,water
54027,10,3,3.1,0.425363451873021,0.40761309585576,0.446779289983091,0,0,0,0,0,0,0,0,0,water
54029,10,3,-3.4,0.535103167450858,0.41990970540807,0.220365915597678,0,0,0,0,0,0,0,0,0,water
54031,10,8,0.7,0.752521235906975,0.436674001303854,0.458524306981202,0,0,0,0,0,0,0,0,0,water
54033,10,5,-2.1,0.581836414838006,0.380965544024924,0.258401175995237,0,0,0,0,0,0,0,0,0,water
54035,10,8,0,0.442056790136305,0.415932448278731,0.443449995296329,0,0,0,0,0,0,0,0,0,water
54037,1,1,6,0.653592776124893,0.28149706052152,0.317774435958274,0,0,0,0,0,0,0,0,0,water
54039,10,3,-3.5,0.21193961119336,0.425532937790597,0.208862680181841,0,0,0,0,0,0,0,0,0,water
54041,4,9,-3.2,0.357047517158743,0.444179318643692,0.361141347312375,0,0,0,0,0,0,0,0,0,water
54043,4,8,-4.9,0.774188971299934,0.446680559524564,0.443587267221404,0,0,0,0,0,0,0,0,0,water
54045,4,6,-6,0.690854625167439,0.463690575342711,0.353877411305384,0,0,0,0,0,0,0,0,0,water
54047,4,9,-9.5,0.761236500988331,0.574332995316262,0.444647277190238,0,0,0,0,0,0,0,0,0,water
54049,10,4,-1,0.245020976388169,0.365814903119238,0.25535127928897,0,0,0,0,0,0,0,0,0,water
54051,10,3,-3.8,0.580076430305295,0.423267586317825,0.272123933794783,0,0,0,0,0,0,0,0,0,water
54053,4,6,-2.5,0.30035186834549,0.404787801706606,0.343951321693425,0,0,0,0,0,0,0,0,0,water
54055,4,4,-3.4,0.577168322986642,0.460243959265386,0.251059143025637,0,0,0,0,0,0,0,0,0,water
54057,10,7,-0.5,0.633454566244184,0.386051517692372,0.341658945331202,0,0,0,0,0,0,0,0,0,water
54059,4,8,-7.6,0.7901541912532,0.552581115594878,0.447368810712293,0,0,0,0,0,0,0,0,0,water
54061,5,3,2.6,0.248696664926093,0.446761714738634,0.199688577255307,0,0,0,0,0,0,0,0,0,water
54063,10,8,0.6,0.378089625983558,0.396152862088755,0.460867814959966,0,0,0,0,0,0,0,0,0,water
54065,10,2,4.1,0.416006690859964,0.36583933521836,0.444111460525769,0,0,0,0,0,0,0,0,0,water
54067,4,8,-2.2,0.748152320649074,0.443335053843402,0.450545284203367,0,0,0,0,0,0,0,0,0,water
54069,10,3,-2.9,0.550124567957214,0.442839811530716,0.220492875799263,0,0,0,0,0,0,0,0,0,water
54071,10,8,-3,0.413098299770033,0.436839750084112,0.455489264291914,0,0,0,0,0,0,0,0,0,water
54073,10,8,-3.9,0.399290701667234,0.307739794101634,0.443013845131631,0,0,0,0,0,0,0,0,0,water
54075,4,9,-2.7,0.768331050710243,0.510145180822546,0.446172735411922,0,0,0,0,0,0,0,0,0,water
54077,10,3,-0.4,0.750496865092168,0.379420179524142,0.444163903480971,0,0,0,0,0,0,0,0,0,water
54079,1,2,-0.7,0.199512751590562,0.316062553345192,0.22721215169276,0,0,0,0,0,0,0,0,0,water
54081,4,3,-2.7,0.631651572688667,0.514471993579494,0.255473463042441,0,0,0,0,0,0,0,0,0,water
54083,4,7,-2.5,0.2891666966045,0.402799304651669,0.31438781779529,0,0,0,0,0,0,0,0,0,water
54085,4,8,-3,0.757447103767799,0.450742067218938,0.444490260587202,0,0,0,0,0,0,0,0,0,water
54087,4,8,-3.2,0.764897198549264,0.458026242988158,0.44491296264085,0,0,0,0,0,0,0,0,0,water
54089,4,8,-3.3,0.444368218642558,0.469452395982392,0.445845597549878,0,0,0,0,0,0,0,0,0,water
54091,10,6,-1.5,0.290303014911744,0.377965908456971,0.338902469617143,0,0,0,0,0,0,0,0,0,water
54093,4,9,-2.7,0.389045262212922,0.412713542282194,0.450427450762248,0,0,0,0,0,0,0,0,0,water
54095,10,9,-5.4,0.379411678361179,0.41168558307236,0.44401827019986,0,0,0,0,0,0,0,0,0,water
54097,4,7,-0.7,0.330923908043242,0.468769716409327,0.327016972624907,0,0,0,0,0,0,0,0,0,water
54099,4,2,-3.3,0.629504221992686,0.408413991863597,0.310272662702778,0,0,0,0,0,0,0,0,0,water
54101,4,9,-4.8,0.798100138142231,0.54582137712092,0.444865788482017,0,0,0,0,0,0,0,0,0,water
54103,4,7,-4.5,0.617366629339728,0.404225060723514,0.319458075888269,0,0,0,0,0,0,0,0,0,water
54105,4,3,-5.1,0.441765521999773,0.426300139536073,0.44197144542616,0,0,0,0,0,0,0,0,0,water
54107,10,3,-1.7,0.521188921774352,0.398200124367417,0.209417985135052,0,0,0,0,0,0,0,0,0,water
54109,4,8,-6.4,0.774333778951517,0.471009597166923,0.446913038364174,0,0,0,0,0,0,0,0,0,water
55001,10,8,3.2,0.791513448746223,0.470829586649005,0.516372280563237,0,0,0,0,0,0,0,0,0,water
