fips,h,f1,f2,f3,f4,f5,k6,k8,k10,rucc
45055,-4.78982276649756,-4.78982276649756,3.2529251996607,1.02347684542867,1.58073240361195,-5.41701539555108,1,1,1,2
45057,-25.9824465823915,-25.9824465823915,14.6568960654521,5.32272684835702,16.4578953045758,-34.3725752573309,1,1,1,1
45059,20.9194317404455,20.9194317404455,-10.1380545290027,-4.00395066940753,-16.0957127072628,28.9702850252024,1,1,1,2
45061,21.1639622089672,21.1639622089672,-12.8964866283915,-4.51867352684096,-15.1133799930748,28.3542848748135,2,2,2,8
45063,-3.24805949447839,-3.24805949447839,2.40463934184782,0.89632339033481,0.690710768974499,-2.79275642887191,1,1,1,2
45065,103.939243964042,103.939243964042,-55.8796380691226,-20.6615473202569,-70.4686088348988,128.95823864603,2,2,2,8
45067,23.8618843834953,23.8618843834953,-13.2770868608286,-5.48527818884931,-15.6989892847014,31.4569764023156,2,2,2,6
45069,30.1529871605911,30.1529871605911,-15.8350249676631,-6.25640087036501,-20.1108311590314,39.2353155596117,2,2,2,6
45071,-7.33110164669309,-7.33110164669309,5.26800035777633,1.86082701221972,3.51361944077812,-9.41803289290596,2,2,2,6
45073,1.84167820290145,1.84167820290145,0.882944001840277,0.418314202877722,-1.4009730387803,0.0558074522387339,1,1,1,4
45075,-12.2271616473002,-12.2271616473002,6.85474382527455,1.90630985860811,7.75769765094206,-14.7140287929522,2,2,2,4
45077,40.8505041757809,40.8505041757809,-21.2900806501366,-8.40360709318398,-27.9963473616432,53.4904741115842,1,1,1,2
45079,-3.2098140196572,-3.2098140196572,1.77989604247026,-0.029966019991887,3.22286538088366,-4.33673991879952,1,5,5,2
45081,41.879686672449,41.879686672449,-21.8102368649316,-6.93877600865464,-30.9690614026413,55.4873516784548,2,2,2,2
45083,9.45110064609536,9.45110064609536,-3.64132961554213,-1.17884485146591,-7.21748294740089,13.3268310782785,1,1,1,2
45085,-12.0453049227785,-12.0453049227785,6.96190509889499,1.87514923131308,7.89497206099499,-15.710629475688,2,2,2,3
45087,24.969640077586,24.969640077586,-12.6127208385821,-5.33129804321286,-17.1664463274316,33.3674325880733,2,2,2,2
45089,34.3335376065506,34.3335376065506,-19.4060890865955,-7.49853039383692,-25.4734675937666,45.7589001572131,2,2,2,6
45091,39.3878888239648,39.3878888239648,-21.8990478651648,-8.34594150029589,-28.6893833856177,52.4632479915935,1,1,1,1
46003,-106.528881762711,-106.528881762711,55.5442242145975,20.8674297232816,71.2887561437567,-136.745841267385,6,8,8,9
46005,-33.5774384033414,-33.5774384033414,17.6645992640022,7.86081662822876,22.0738071747806,-41.1605971007804,6,8,8,7
46007,52.9635878807152,52.9635878807152,-32.9177463993304,-11.3762247873143,-32.1260939927406,67.637841562418,4,6,6,9
46009,8.02646917166234,8.02646917166234,-5.55642456442822,-1.4558224467658,-4.58685005496792,8.71709316121891,6,8,8,9
46015,182.874395138397,182.874395138397,-102.75822516842,-37.0327882707427,-124.923054749324,239.31827834793,6,8,8,9
46019,50.2097208224749,50.2097208224749,-29.6053602960409,-10.8150871067306,-36.5072077546878,68.9491336325197,5,7,7,7
