fips,cropland_acres,land_area_acres,cropland_share_of_land
12086,48289,1215951.63160711,0.0397129283310199
12087,73,629141.538872939,0.000116031124142231
12089,3002,415155.712598115,0.00723102178026884
12091,13261,595111.630873887,0.0222832142946475
12093,46684,492343.300890216,0.0948200166745231
12095,11302,577914.836966591,0.0195565146922389
12097,31336,849626.799821225,0.0368820757614915
12099,401859,1257146.56596704,0.319659625121654
12101,26179,477826.28428351,0.0547876934799742
12103,1354,175220.394460868,0.00772741097956144
12105,141588,1150796.01846452,0.123034836520305
12107,13359,466146.673005725,0.0286583617852743
12109,12508,384410.178836138,0.0325381602481753
12111,34381,365998.945749951,0.0939374290533857
12113,59909,647936.600994539,0.0924612067107241
12115,11784,355844.014209797,0.0331156336187587
12117,3369,198002.482383578,0.0170149381939235
12119,20853,356572.175203628,0.0584818486975083
12121,85965,440695.172370525,0.195066806694499
12123,2886,667735.624356233,0.00432206983532203
12125,9338,155875.196687441,0.0599069011519804
12127,17774,704714.149437767,0.0252215739022416
12129,3554,388107.599354665,0.00915725434366526
12131,26436,664510.656229594,0.0397826577379463
12133,12266,374193.155891373,0.0327798619693642
13001,66855,325287.841254966,0.205525665337113
13003,41366,219339.823723092,0.188593203449562
13005,37767,181812.780294448,0.207724671163577
13007,46558,218852.681410515,0.212736712659546
13009,9102,165567.537811464,0.0549745446499584
13011,11104,148874.551250744,0.0745862869557734
13013,4572,103063.427430453,0.0443610319779555
13015,23446,293703.771691521,0.0798287330971885
13017,16503,160075.390416524,0.103095172574987
13019,70410,290160.916330126,0.242658456178475
13021,1152,159604.899052941,0.00721782355576619
13023,14962,138162.085723655,0.108293095907124
13025,6970,283670.12219052,0.024570793519519
13027,120278,315637.902673006,0.381063234109135
13029,5876,280040.632423863,0.0209826693688729
13031,115781,432616.092579797,0.267629896311922
13033,115869,529305.514792655,0.218907600169988
13035,3259,117561.569633947,0.02772164415759
13037,66975,179445.827780672,0.373232416871014
13039,647,403374.238057542,0.00160396956215063
13043,29357,155557.987509851,0.188720620971912
13045,25647,319446.19443388,0.0802858210455487
13047,4824,103783.994628821,0.046481155569824
13049,1538,499255.577983191,0.0030805865128497
13051,5155,276938.113415092,0.018614267052052
13053,,159191.669666402,
13055,18196,200529.080294014,0.0907399563859826
13057,6837,269452.448301042,0.0253736792636653
13059,1254,76351.9977396683,0.0164239317519323
13061,25009,125058.524498644,0.199978370928815
13063,464,90723.5527985835,0.00511443815510766
13065,17840,521597.248255607,0.0342026344265865
13067,359,217412.12474616,0.00165124185423951
13069,96909,379038.260564324,0.255670759610702
13071,131456,350100.754620104,0.375480481733447
13073,3730,185724.09621919,0.0200835544548721
13075,49095,146208.400082178,0.335787820483677
13077,14223,282285.147927935,0.0503852225467811
13079,12067,207945.119513281,0.0580297341348726
13081,80208,174515.197711409,0.459604670835819
13083,6259,111408.725214979,0.0561805189667358
13085,2854,134929.97971098,0.0211517114737086
13087,113951,382233.189325322,0.298119062348129
13089,,171317.043483873,
13091,26820,317416.252393189,0.0844947282875031
13093,155678,251283.598412024,0.619531083539875
13095,18039,210331.993415768,0.0857644132357074
13097,1754,128131.579155995,0.0136890531713855
13099,77146,328063.682749264,0.235155562948923
13101,11276,269060.563383104,0.0419087801579624
13103,19579,306451.106540598,0.0638894739882631
13105,23164,224705.80677076,0.103085898548369
13107,41167,435567.572872329,0.0945134637285467
13109,23598,117052.559730678,0.201601742450534
13111,3716,247747.242416361,0.0149991578665281
13113,1491,124522.753823929,0.0119737152786407
13115,21479,326293.21593784,0.0658272956679915
13117,4513,143764.193283402,0.0313916831230954
13119,20446,167259.041357073,0.122241523292908
13121,2210,337113.269912291,0.0065556600621951
13123,7505,272777.994248278,0.0275132164553167
13125,6084,91997.1467817374,0.0661324857653928
13127,415,268566.866106085,0.00154523901632777
13129,31932,228123.541805118,0.139976785154769
13131,45054,290855.739348586,0.154901533319938
13133,7535,248010.896691831,0.0303817295953842
13135,1282,275919.540586713,0.00464628201856949
13137,7815,177194.671566592,0.0441040350192643
13139,12404,251282.051779444,0.0493628570451472
13141,6535,301482.753116766,0.0216761984970628
13143,6963,180585.746648499,0.0385578603473791
13145,7601,296840.483413177,0.0256063455786118
13147,31399,148750.177181958,0.211085462853542
13149,7472,189422.918813648,0.0394461242958191
13151,5266,203968.850209406,0.0258176677203094
13153,27294,240669.551004501,0.113408613121523
