fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48089,Colorado,1,0.224118222885151,0,0,0,92.509360316352,0.887940888557425,1,0.396494304216794,0.709206775052971,FALSE,FALSE
48091,Comal,0.4661147609,0.0211590123795766,0,0,0,46.0529882560481,0.461183496901907,1,0.630949227921303,0.597656729713016,FALSE,FALSE
48093,Comanche,1,0.282535442926867,0,0,0,87.2390789731304,0.858732278536566,1,0.417951120569616,0.703862824687168,FALSE,FALSE
48095,Concho,1,0.22956679064756,0,0,0,107.950701190253,0.88521660467622,1,0.339762983471003,0.68383776858949,FALSE,FALSE
48097,Cooke,0.6029567054,0.262821797242659,0,0,0,48.9068692165252,0.52372162291363,1,0.613197203703526,0.621035276369282,FALSE,FALSE
48099,Coryell,0.1952872083,0.180493194665072,0,0,0,49.596184626424,0.177663202248355,1,0.608984875677679,0.448288254744899,FALSE,FALSE
48101,Cottle,1,0.17117581323643,0,0,0,50.4261623121128,0.914412093381785,1,0.603951354546451,0.810132951645953,FALSE,FALSE
48103,Crane,1,0.000191065979328648,0,0,0,48.3771710828694,0.999904467010336,1,0.616453915603514,0.857663026278688,FALSE,FALSE
48105,Crockett,1,0.00367565376940387,0,0,0,125.388469165652,0.998162173115298,1,0.285393973067171,0.716613487110537,FALSE,FALSE
48107,Crosby,1,0.523247435886619,0,0,0,70.1773205764395,0.738376282056691,1,0.495705536103299,0.677328784294825,FALSE,FALSE
48109,Culberson,1,0.00703465054118739,0,0,0,135.443040487884,0.996482674729406,1,0.258094261824238,0.704223581089747,FALSE,FALSE
48111,Dallam,0.2330288124,0.427502049823106,0,0,0,255.02622105328,0.183218664915578,1,0.078061194849902,0.226210845459038,FALSE,FALSE
48113,Dallas,0.0057825806,0.0636058567247144,0,0,0,0,0.00559867760342864,1,1,0.528860271925286,TRUE,FALSE
48115,Dawson,0.2990526654,0.781881822898294,0,0,0,48.2824433621926,0.182140743817227,1,0.617038145016704,0.453910487704673,FALSE,FALSE
48117,Deaf Smith,0.1648280687,0.563958471773496,0,0,0,122.309252589629,0.118349975835286,1,0.294318570282067,0.28573889725509,FALSE,FALSE
48119,Delta,1,0.406782874460479,0,0,0,86.8297929146845,0.796608562769761,1,0.419665241673736,0.673897688345311,FALSE,FALSE
48121,Denton,0.0720370865,0.207371765798871,0,0,0,0,0.0645678575847445,1,1,0.557992824631596,TRUE,FALSE
48123,DeWitt,0.5139729621,0.0681707774188215,0,0,0,113.069199464948,0.496453993900694,1,0.322809796462669,0.484598416655272,FALSE,FALSE
48125,Dickens,1,0.236108461435323,0,0,0,101.752843373822,0.881945769282338,1,0.361487276741609,0.691421125139302,FALSE,FALSE
