fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
29043,1,2,7.6,0.239889315104188,0.307483267873128,0.251880100237521,0,0,0,0,0,0,0,0,0,water
29047,1,1,3.6,0.463751874209497,0.292299595359173,0.138913042387654,0,0,0,0,0,0,0,0,0,water
29165,1,1,5.6,0.4907783868308,0.27729646625182,0.156549138761762,0,0,0,0,0,0,0,0,0,water
29183,1,1,4.3,0.0950718410837766,0.222305122700131,0.129675428402384,0,0,0,0,0,0,0,0,0,water
31153,1,2,7.1,0.108920324890623,0.22373417680542,0.129038011021283,0,0,0,0,0,0,0,0,0,water
36041,1,8,0.2,0.753911554100021,0.412116654918287,0.451868794487799,0,0,0,0,0,0,0,0,0,water
37001,1,3,6.7,0.216090664598477,0.384228139413469,0.198959074634998,0,0,0,0,0,0,0,0,0,water
37003,1,2,0.8,0.387916040543832,0.354937242487907,0.421134219844691,0,0,0,0,0,0,0,0,0,water
37005,1,9,4.5,0.458497415989627,0.505287045427629,0.444464549764169,0,0,0,0,0,0,0,0,0,water
37009,1,9,2.5,0.417635905471252,0.444107671139099,0.43807468721905,0,0,0,0,0,0,0,0,0,water
37011,1,9,0,0.435876334892651,0.382130971903314,0.441378752004576,0,0,0,0,0,0,0,0,0,water
37013,1,6,-0.3,0.35526841236976,0.460826331776978,0.323241222380073,0,0,0,0,0,0,0,0,0,water
37019,1,2,20.9,0.259256134870195,0.430722917830079,0.233795101182486,0,0,0,0,0,0,0,0,0,water
37023,1,2,1.5,0.262159311125957,0.436653245222691,0.265024141307699,0,0,0,0,0,0,0,0,0,water
37025,1,1,7.8,0.502842962686829,0.297565449394589,0.169507105139636,0,0,0,0,0,0,0,0,0,water
37027,1,2,0.2,0.253234380292074,0.381701591419962,0.255591212322961,0,0,0,0,0,0,0,0,0,water
37029,1,1,7.5,0.431704702766946,0.273707776644331,0.439905972082835,0,0,0,0,0,0,0,0,0,water
37031,1,4,3.8,0.209294832107346,0.405429599814962,0.212660494023311,0,0,0,0,0,0,0,0,0,water
37035,1,2,3.8,0.227835857790558,0.359689629365696,0.228797511905512,0,0,0,0,0,0,0,0,0,water
37037,1,2,9.4,0.342110605784014,0.348360531173004,0.32558634122027,0,0,0,0,0,0,0,0,0,water
37039,1,9,5.2,0.425434746833931,0.457581677986263,0.444881551154901,0,0,0,0,0,0,0,0,0,water
37043,1,9,8,0.515736399146794,0.52049048435276,0.436153211246634,0,0,0,0,0,0,0,0,0,water
37045,1,4,2.3,0.356470195391107,0.429537963338482,0.321370794863141,0,0,0,0,0,0,0,0,0,water
37049,1,4,2.6,0.262903151469726,0.410700828319023,0.229542760526076,0,0,0,0,0,0,0,0,0,water
37053,1,1,13.6,0.426678551744473,0.299655440706549,0.430471168740876,0,0,0,0,0,0,0,0,0,water
37055,1,4,3.1,0.207315805681269,0.376570859509688,0.184419417070975,0,0,0,0,0,0,0,0,0,water
37057,1,2,5.2,0.268451002441394,0.388120467371972,0.270896497050125,0,0,0,0,0,0,0,0,0,water
37059,1,2,5.8,0.691428856039245,0.353482272075091,0.346284445529219,0,0,0,0,0,0,0,0,0,water
37061,1,8,3.8,0.467437039038546,0.440022627766582,0.534204428657183,0,0,0,0,0,0,0,0,0,water
37069,1,1,15.6,0.718198442996236,0.351887441781697,0.378336195996901,0,0,0,0,0,0,0,0,0,water
