site_id,name,operator,county_fips,lat,lon,status,status_date,mw,cooling,water_source,power_source,confidence,source_url,notes,assign_pattern
COMP-096,Microsoft Corporation (SAT 80-85),Microsoft Corporation,48029,,,operating,03/31/2022,75,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Microsoft Corporation; occupant=Microsoft Corporation; operator=Microsoft Corporation; addr_guess=NA; verify county/MW,\bSAT\s*\d
COMP-097,Microsoft Corporation (SAT 89-90),Microsoft Corporation,48029,,,operating,04/04/2024,75,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Microsoft Corporation; occupant=Microsoft Corporation; operator=Microsoft Corporation; addr_guess=NA; verify county/MW,\bSAT\s*\d
COMP-098,Milam County Data Center,"Milam County DC, LLC",48331,,,operating,12/09/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Milam County DC, LLC; occupant=Milam County DC, LLC; operator=Milam County DC, LLC; addr_guess=NA; verify county/MW",Milam County|Rockdale|Whinstone
COMP-101,"Poolside Data Center, Pecos County I","Poolside LF Phase 1 DC OPS, LLC",48371,,,operating,10/23/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Poolside LF Phase 1 DC OPS, LLC; occupant=Poolside LF Phase 1 DC OPS, LLC; operator=Poolside LF Phase 1 DC OPS, LLC; addr_guess=NA; verify county/MW",Pecos County|USBTC Pecos|Poolside.*Pecos
COMP-102,"Poolside Data Center, Pecos County II","Poolside LF Phase 2 DC OPS, LLC",48371,,,operating,03/06/2026,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Poolside LF Phase 2 DC OPS, LLC; occupant=Poolside LF Phase 2 DC OPS, LLC; operator=Poolside LF Phase 2 DC OPS, LLC; addr_guess=NA; verify county/MW",Pecos County|USBTC Pecos|Poolside.*Pecos
COMP-103,PowerCampus Dallas by Lancaster Data Center Campus LP,"Google, LLC",48113,,,operating,02/21/2025,250,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Lancaster Data Center Campus LP; occupant=Design, LLC; operator=Google, LLC; addr_guess=NA; verify county/MW",Lancaster
COMP-106,Pyote Data Center,DDH (North America) Inc.,48475,,,operating,07/11/2022,40,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=DDH (North America) Inc.; occupant=DDH (North America) Inc.; operator=DDH (North America) Inc.; addr_guess=NA; verify county/MW,Pyote
COMP-107,Red Oak Texas Data Center,"Compass Datacenters, LLC",48139,,,operating,02/14/2022,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Compass Datacenters DFW IIIA, LLC Compass Datacenters DFW III, LLC Compass Datacenters DFW IIIB, LLC Compass Datacenters DFW IIIC, LLC Compass Datacenters DFW IIID, LLC Compass Datacenters DFW IIIE, LLC; occupant=Microsoft Corporation; operator=Compass Datacenters, LLC; addr_guess=NA; verify county/MW",Red Oak|Ennis|Waxahachie|Midlothian|Ellis County
COMP-108,Red Oak Texas Data Center 2,"Compass Datacenters, LLC",48139,,,operating,03/14/2024,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Compass Datacenters DFW IIIJ, LLC Compass Datacenters DFW III, LLC Compass Datacenters DFW IIIF, LLC Compass Datacenters DFW IIIG, LLC Compass Datacenters DFW IIIH, LLC Compass Datacenters DFW III-I, LLC; occupant=Microsoft Corporation; operator=Compass Datacenters, LLC; addr_guess=NA; verify county/MW",Red Oak|Ennis|Waxahachie|Midlothian|Ellis County
COMP-109,Riot Corsicana Data Center,"Riot Corsicana, LLC",48349,,,operating,08/22/2023,100,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Riot Corsicana, LLC; occupant=Riot Corsicana, LLC; operator=Riot Corsicana, LLC; addr_guess=NA; verify county/MW",Corsicana|Navarro County
